Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time,Minutes
2‑Oct‑2024,Shanghai Masters,Hard,R16,7,14,(7)Fritz d. (12)Holger Rune [DEN],6-1 6-2,2.1,18.80%,0.00%,72.90%,85.70%,46.20%,1/1,0:55:00,
2‑Oct‑2024,Shanghai Masters,Hard,R32,7,336,(7)Fritz d. (Q)Yosuke Watanuki [JPN],6-3 6-4,1.25,16.70%,0.00%,65.00%,76.90%,47.60%,3/4,1:15:00,
2‑Oct‑2024,Shanghai Masters,Hard,R64,7,161,(7)Fritz d. (Q)Terence Atmane [FRA],7-6(4) 7-6(5),0.94,7.30%,0.00%,63.40%,73.10%,56.70%,2/3,2:02:00,
28‑Oct‑2024,Paris Masters,Hard,R32,6,15,Jack Draper [GBR] d. (5)Fritz,7-6(6) 4-6 6-4,0.84,6.70%,3.30%,52.50%,68.30%,59.60%,8/10,2:22:00,
11‑Nov‑2024,Tour Finals,Hard,F,5,1,(1)Jannik Sinner [ITA] d. (5)Fritz,6-4 6-4,0.71,13.10%,3.30%,75.40%,69.60%,60.00%,4/6,1:24:00,
11‑Nov‑2024,Tour Finals,Hard,SF,5,2,(5)Fritz d. (2)Alexander Zverev [GER],6-3 3-6 7-6(3),0.89,14.40%,1.00%,71.20%,85.10%,33.30%,6/7,2:21:00,
11‑Nov‑2024,Tour Finals,Hard,RR,5,1,(1)Jannik Sinner [ITA] d. (5)Fritz,6-4 6-4,0.81,10.90%,0.00%,59.40%,78.90%,38.50%,4/6,1:40:00,
11‑Nov‑2024,Tour Finals,Hard,RR,5,4,(5)Fritz d. (4)Daniil Medvedev [RUS],6-4 6-3,1.66,15.50%,0.00%,69.00%,85.00%,55.60%,3/3,1:20:00,
11‑Nov‑2024,Tour Finals,Hard,RR,5,9,(5)Fritz d. (7)Alex De Minaur [AUS],5-7 6-4 6-3,1.03,6.20%,1.00%,63.90%,83.90%,45.70%,4/6,2:08:00,
21‑Nov‑2024,Davis Cup Finals QF: USA vs AUS,Hard,RR,4,9,Fritz d. Alex De Minaur [AUS],6-3 6-4,1.39,16.90%,0.00%,57.60%,79.40%,60.00%,3/4,1:09:00,
27‑Dec‑2024,United Cup,Hard,F,4,16,Fritz d. Hubert Hurkacz [POL],6-4 5-7 7-6(4),1,13.50%,3.10%,64.60%,82.30%,58.80%,0/1,2:18:00,
27‑Dec‑2024,United Cup,Hard,QF,4,45,Fritz d. Zhizhen Zhang [CHN],6-4 6-4,4.12,18.20%,2.30%,75.00%,90.90%,90.90%,0/0,1:19:00,
